web-scraper-order,web-scraper-start-url,select,select-href,job_name,company's_name,location,JobDescReq,webpage
"1707037599-1","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Investment Analyst","https://www.jobstreet.co.id/id/job/73084819?type=standout&ref=search-standalone#sol=c85ef4ebc0c1db3b5f6af8db890a8d50bbbdad51","","PT HEJAZ FINANCIAL SERVICES","Jakarta Selatan, Jakarta Raya","The Investment Analyst will work under the supervision of our experienced and highly supportive Portfolio Analyst to help drive the commercial portfolio data strategy. The role will assist in developing commercial data capability, analytics solutions and portfolio insights across all the Hejaz Group’s product offerings. This role has a strong focus on financial data. To be successful in this role you will have positive friendly attitude and a strong interest in financial data analytics. We will provide the tools and support to set you up for success. Main ResponsibilitiesReview fund-related investment opportunities for investment and divestment of assets and significant asset management activities.Review financial results, metrics, and other key drivers of fund investment performance.Source and consolidate information from asset and investment managers, fund accountants, market commentators and other subject matter experts to deliver value-added insights.Assist in the coordination of service providers that are integral to the operational success of the fund, e.g., annual valuation process, periodic distributions, fund accounting and reporting, annual audit process and other compliance matters.Assist with operational matters including maintenance of finance-related tasks and customer management system. Essential RequirementsMust have Tertiary qualifications in Finance or Economics. Strong analytical skills with an understanding of Equities and REITs.Advanced numerical, reconciliation, and problem-solving skills.High level of competency with Excel.Advanced knowledge of products and services within the financial services Industry.Previous experience in data analysis for investment and resource portfolio highly regarded.Previous experience at a Security Firm, Asset Management Company, Fund Company, or Private Equity Company. High level of attention to detail and good organizational skills.Previous experience in the financial services industry is highly regarded. Desirable Experience and SkillsExperience in the banking and financial services industry highly regarded.Experience working in a fast-paced and medium enterprise environment highly regarded. It is a great opportunity to be part of a fast-growing organization with opportunities for career development and progression. In return, you will be rewarded for your drive to make a positive impact on the Hejaz team. To submit your application, please click on “Apply” to send your CV and cover letter. Only shortlisted applicants will be contacted. We reserve the right to close this vacancy early if we have received sufficient applications and suitable applicants have been selected for the role. Therefore, if you are interested, please submit your application as early as possible. Learn more about Hejaz and our business by visiting our website: https://www.hejazfs.com.au/",""
"1707037602-2","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Marketing Communication Supervisor","https://www.jobstreet.co.id/id/job/73437170?type=standard&ref=search-standalone#sol=cc3f1c09bb9c224b2360ec5a5913db55275a0a4e","","PT Infinity Investasi Indonesia","Tangerang Regency, Banten","Support Marketing Division in developing and delivery marketing plans in all aspect of the marketing in line with company and business strategies.Support Marketing Division in Marketing Analyst for collecting, analyzing, interpreting and give recommendation based on data, include examining market trends, consumers behavior, and the effectiveness of marketing to provide insights and recommendations for decision making.Support Marketing Division in Event Management for planning, organizing and executing events, include creating event proposals, budget management, venue selection, coordinating logistics, collaborating with vendors, and ensuring a seamless execution of events.Support Marketing Division in Digital marketing for strategy including content strategy.Support Marketing Division in public relation, media relation, event management , materials, advertising, and others related with marketing operational.",""
"1707037604-3","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Finance Admin Intern","https://www.jobstreet.co.id/id/job/73091582?type=standout&ref=search-standalone#sol=d3a5654b29e3983df6c5fa5a213c63e8942cd12c","","PT Medan BioenergyNusantara","Samarinda, Kalimantan Timur","Tukr is a rapidly expanding renewable commodities trader with a hyper-focus on direct origination of bio-feedstock material - primarily Used Cooking Oil and Palm Oil Mill Effluent for biodiesel production as well as Biodiesel itself. We develop complex supply chains within challenging locations to source sustainable and renewable materials for biofuel production. We bulk, store, blend and deliver these volumes to our end clients with attentive care to quality and sustainability compliance. Tukr relies on the efficiency and effectiveness of our supply management. We consider each of our regional warehouses to be a well-oiled machine. We count on exceptionally talented, bright, and committed people. We are looking for a Sales Admin Intern with details below:Responsible for administrative work (typing, filling document and data recap)Daily sales activity tracking (based on Google Docs and WhatsApp group)Analyze and process data based on daily visit Sales (simple analyst)Random check for sales call to ensure the call be accounted forIncentive tracking for sales and origins/sites dataOther ad-hoc duties Qualifications:Bachelor's degree in any majorFresh graduate or maximum has 2 years working experienceProficient with Excel & Google Sheets, databases, visualization and interpretationAnalytical, meticulous, and innovativeInitiative and ability to work independently, responsive, and adaptive to the team environment",""
"1707037606-4","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Credit Marketing Officer (CMO) - Gianyar","https://www.jobstreet.co.id/id/job/72762437?type=standard&ref=search-standalone#sol=e3bb4361943756446e3f5428bc920e2a036b75d1","PT Tirta Rindang Unggul Ekatama Finance (TRUE FINANCE)","PT Tirta Rindang Unggul Ekatama Finance (TRUE FINANCE)","Gianyar Regency, Bali","BenefitInsentiveJenjang karirNetworkingTrainingBPJS Kesehatan & Ketenagakerjaan
Deskripsi PekerjaanMencari aplikasi/menjual pembiayaan kepada calon nasabahMempromosikan produk perusahaan kepada seluruh rekanan/calon nasabahMemelihara hubungan baik dengan rekanan & nasabah.
Kualifikasi:Pendidikan D3 (Fresh gradaute di persilahkan melamar)Usia Max. 38 thnMemiliki pengalaman 1 tahun yang sama dibidangnyaMenguasai area dan bahasa daerah setempatMemiliki dan bisa mengendarai R2 + SIM C (SIM A diutamakan)Memiliki smartphone android & gmailMemahami digital marketingPenampilan rapiSiap bekerja dengan targetMemiliki kemampuan analisa yang baikBerpengalaman sebagai detailer diminatiNote :Untuk pembukaan cabang baru PT TRUE Finance di daerah Gianyar, BaliRencana akan mulai beroperasi di Januari 2024

Required Skill(s): Credit Analyst, Field Documentation, Collecting Data, Observer, Surveyor",""
"1707037609-5","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Senior Software Developer net core","https://www.jobstreet.co.id/id/job/73245647?type=standard&ref=search-standalone#sol=bd29f28727d9d087f14abe6337320eef23914566","PT Mitra Solusi Telematika","PT Mitra Solusi Telematika","Yogyakarta, DI Yogyakarta","Job Description : Development Application SystemConfirms project requirements by reviewing program objective, input data, and output requirements with analyst, supervisor, and clientArranges project requirements in programming sequence by analyzing requirements; preparing a work flow chart and diagram using knowledge of computer capabilities, subject matter, programming language, and logicWrite, tes, debug and maintaint the detailed instruction, called computer program, that computer must follow to perfom their functionAct as Integrator and Database AdministratorMaintains historical records by documenting program development and revisionsControlling and monitoring implementation of all system applicationConduct user need analysis, coordinate with team member developer, create program according to user neededReview, analyzes, and modifies programming system including encodingEnsure the product running well  Requirement : Candidate must possess at least Minimum Bachelor’s degree in Computer Science / Information TechnologyMinimum 8-10 years of working experience in the related field is required for this positionRequired Skill(s): net core C#, node js, reactjs, AWS Console and Power Platform (PowerApps, Sharepoint, PowerBI)Familiar with DevOps ecosystemsExperienced in using DevOps Tools (Git, Jenkins, Docker, etc)Experienced with serverless architecture is DesirableHigh Integrity, able to work based on target and under pressureProactive and good communication skillHave good logic & analytical thinkingOpen minded and fast learner",""
"1707037611-6","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Junior Software Developer net core","https://www.jobstreet.co.id/id/job/73245550?type=standard&ref=search-standalone#sol=34e3523e7bf3eb789a5e84b0c06cd6c2bd889996","PT Mitra Solusi Telematika","PT Mitra Solusi Telematika","Yogyakarta, DI Yogyakarta","Job Description : Development Application SystemConfirms project requirements by reviewing program objective, input data, and output requirements with analyst, supervisor, and clientArranges project requirements in programming sequence by analyzing requirements; preparing a work flow chart and diagram using knowledge of computer capabilities, subject matter, programming language, and logicWrite, tes, debug and maintaint the detailed instruction, called computer program, that computer must follow to perfom their functionAct as Integrator and Database AdministratorMaintains historical records by documenting program development and revisionsControlling and monitoring implementation of all system applicationConduct user need analysis, coordinate with team member developer, create program according to user neededReview, analyzes, and modifies programming system including encodingEnsure the product running well  Requirement : Candidate must possess at least Minimum Bachelor’s degree in Computer Science / Information TechnologyMinimum 3 years of working experience in the related field is required for this positionRequired Skill(s): net core C#, node js, reactjs, AWS Console and Power Platform (PowerApps, Sharepoint, PowerBI)Familiar with DevOps ecosystemsExperienced in using DevOps Tools (Git, Jenkins, Docker, etc)Experienced with serverless architecture is DesirableHigh Integrity, able to work based on target and under pressureProactive and good communication skillHave good logic & analytical thinkingOpen minded and fast learner",""
"1707037614-7","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Purchasing Staff","https://www.jobstreet.co.id/id/job/72942188?type=standout&ref=search-standalone#sol=d63e33acb07e475838c4ec08ba4e65b8d03d5d44","PT Maruni Daya Sakti","PT Maruni Daya Sakti","Jakarta Barat, Jakarta Raya","Deskripsi Pekerjaan:Mencari sourcing supply barang dan/atau jasa sesuai spesifikasi dan standard yang ditentukan, tepat waktu dan efisienMengurus proses importasi dan perizinan import di instansi-instansi terkaitMemberikan rekomendasi vendor selectionData administrator dan analyst di bagian purchasingMembangun sistem kerja yang efektif & efisien dibagiannyaPersyaratan:Minimal pendidikan S1Memiliki pengalaman sebagai purchasing lapangan selama kurang lebih 2 tahunMemiliki kemampuan negosiasi yang baikMemiliki kemampuan excel yang baikDisiplin, tegas, dan telitiMemiliki motivasi dan inisiatif yang tinggi untuk belajarKemampuan bahasa inggris yang baik, bisa berbahasa cina/mandarin merupakan nilai plus.",""
"1707037616-8","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Web Programmer Bandung","https://www.jobstreet.co.id/id/job/73166850?type=standard&ref=search-standalone#sol=a4bb75f1ca422f98acf8fbb62bb138713fffb533","PT Jasamedika Saranatama","PT Jasamedika Saranatama","Bandung, Jawa Barat","Deskripsi PekerjaanKualifikasi:Pendidikan D3 atau S1 (Teknik Informatika/Manajemen Informatika/Sistem Informatika/Teknik Komputer)Memiliki pengalaman minimal selama 2 tahunMemiliki inisiatif tinggi dan teliti dan mampu berkomunikasi dengan baikMenguasai Bahasa pemograman PHPMemiliki pengalaman menggunakan Framework PHP: LaravelMemiliki pengalaman menggunakan AngularJSMenguasai Databse PostgreSQLTerbiasa dengan mendokumentasikan Code yang dibuatDiutamakan untuk yang berdomisili di Bandung dan Sekitarnya​
Deskripsi Pekerjaan:Melakukan support aplikasi/ produk yang diimplementasikan, melakukan penambahan–penambahan dalam sebuah aplikasi/ produk sesuai permintaan user, serta melakukan maintainance dan troubleshooting.Bertanggung jawab terhadap keakuratan pengerjaan customize dan change request sesuai dengan kebutuhan userMembangun aplikasi sesuai rancangan perencanaanMelakukan komunikasi dengan Business Process Analyst dalam menerima dara requirement, change request, master data, gap analyst dan informasi lain.Mengimplementasikan coding stored procedure (Repository, presenter, view dan service) yang diperlukan dalam aplikasi sesuai dengan struktur dan standar penulisan code yang telah ditentukan.",""
"1707037619-9","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Quality Control","https://www.jobstreet.co.id/id/job/72879921?type=standout&ref=search-standalone#sol=a99829e9a0f7eb91b10f4179fe41542231472655","PT Hon Chuan Indonesia","PT Hon Chuan Indonesia","Mojokerto, Jawa Timur","Requirements:Candidate must possess at least Associate Degre (D3) major in Data Analyst, Industrial Engineering, Enviromental Engineering, Mechanical Engineering, Chemistry Engineering is preferred.At least 2 years of working experience in quality control packaging plasticFamiliar with Packaging Plastic (Injection/compression/printing/label, and closure) process for packaging departementKnow Primary food and beverages packaging quality controlling and development.Understanding Food Safety System Sertification (FSSC 22000).Like to working in production, development and technical solution.Not blind colour and good curiosity & finding solution.Good communication and good player on individual or teamPlacement at Ngoro-Mojokerto, East Java and another Hon Chuan Plant if neededResponsibilityDaily controlling production qualityMonitoring product trial and developmentCommunicate with other departement related quality issue and findingsAble to operate Ms Office (Ms Word, Ms. Excel, Powerpoint)Summaryzing weekly issue findings",""
"1707037622-10","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Stock & Forecasting Supervisor Surabaya","https://www.jobstreet.co.id/id/job/72974996?type=standard&ref=search-standalone#sol=51f2b4ad0808d5ff5fb541e8f8904bc8cb507b32","Erajaya Group","Erajaya Group","Surabaya, Jawa Timur","Job DescriptionCoordinating target setting for sales in each brand and each business unit,  Analyzing target & KPI.Creating analysis & evaluation for store performance, dealer and communicating to business development, marketing and operation team as reference for action plan.Estimates of stock requirements, monitor stock level dan DOS di Channel Distribusi.Planning stock needs forecast (forecasting Stock), monitoring stock level and DOS in retail channel. Requirement :Bachelor Degree in any major.Experienced in same fields in 1 - 2 yearsexpert using ms. excell.Has Strong analytical thinking, leadership, data analystWilling to be placed in Surabaya",""
"1707037633-11","https://www.jobstreet.co.id/id/Data-Analyst-jobs","Trade Marketing Admin","https://www.jobstreet.co.id/id/job/72972205?type=standout&ref=search-standalone#sol=5f06ef40fabf3775fd685d26aada890672ef44d1","","PT LUMIRA TALENTA INDONESIA","Cibitung, Jawa Barat","Trade Marketing Admin for Modern MarketJob Description:Support data analyst MT (Sell out data per store, Sell in data, Promotion data, and Competitor promo data).Receipt and process data promotion claim to all store MT, create data based, reporting claim and process payment to finance.Work with finance to make accrual payment, claim promo and budget promotion.Make return product report each store.",""
